LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,COLLATERAL,L_P_RATIO,L_C_RATIO,C_P_RATIO,HIGH_DEBTINC_FLAG,HAS_DEROG
6500,63144.0,76754.0,HomeImp,Mgr,2.0,0.0,2.0,129.0777116,0.0,23.0,29.055433128,13610.0,0.08468614013601897,0.4775900073475386,0.1773197488078797,0,0
14500,78503.0,90558.0,DebtCon,Mgr,19.0,0.0,0.0,250.45228937,8.0,24.0,36.876234534,12055.0,0.16011837717264074,1.2028204064703443,0.13311910598732304,0,0
30500,113822.0,148478.0,DebtCon,ProfExe,10.0,0.0,0.0,165.78827835,0.0,16.0,31.163207005,34656.0,0.2054176376298172,0.8800784856879039,0.23340831638357198,0,0
24300,65019.0,144123.0,Unknown,Unknown,7.0,0.0,0.0,173.46666667,1.0,20.0,15.529230143,26623.0,0.16860598239004185,0.6479140328697851,0.28113879003558717,0,0
26800,96895.0,144482.0,DebtCon,Mgr,23.0,0.0,0.0,201.96787517,0.0,13.0,40.162160653,47587.0,0.18549023407760137,0.5631790194801101,0.32936282720338866,0,0
15500,25751.0,43531.0,Unknown,Office,0.0,0.0,0.0,213.35928169,0.0,16.0,37.794991933,17780.0,0.35606808940754864,0.8717660292463442,0.408444556752659,0,0
8400,82972.0,121796.0,HomeImp,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,41.445623568,38824.0,0.06896778219317547,0.21636101380589326,0.31876252093664814,0,0
21000,94063.0,139868.0,DebtCon,ProfExe,7.0,0.0,0.0,207.21003554,0.0,21.0,30.247822552,45805.0,0.1501415620442131,0.4584652330531601,0.32748734521119915,0,0
20000,59936.0,12737.0,DebtCon,Other,5.0,0.0,0.0,63.395400361,0.0,17.0,40.446579317,-47199.0,0.8559897413865227,-0.42373779105489523,-3.705660673628013,0,0
25200,63258.0,100392.0,DebtCon,ProfExe,0.0,0.0,0.0,194.70131583,0.0,25.0,35.274460982,37134.0,0.2510160172125269,0.6786233640329618,0.3698900310781736,0,0
